source,id,text,researcher,year,aggressive,hate
twitter,-,"""não come mel, morde marimbondo""",fortuna et al,2019,0,0
twitter,-,"não tem pinto, tem orgulho !",fortuna et al,2019,0,0
twitter,-,Não vê essa merda de Crepúsculo! Pra isso temos a cinebiografia do Chuck Norris....,fortuna et al,2019,0,0
twitter,-,"não da tapa na bundinha, da cotovelada nas costas !",fortuna et al,2019,0,0
twitter,-,o diminutivo INHO não acompanha a trajetória de um HOMEM DE VERDADE.,fortuna et al,2019,1,1
twitter,-,"uns tem saco, nós temos culhões !!!!!!!!!!!!!!!!!!!",fortuna et al,2019,0,0
twitter,-,"Esse futebol de hoje ""politicamente correto"" e ""profissional"" não é coisa de homem de verdade...é de mariquinha..futebol tem que ter porrada",fortuna et al,2019,1,1
twitter,-,água ser essencial é coisa de maricas. Cerveja é essencial !,fortuna et al,2019,1,1
twitter,-,"""....não tem barriga tem calo sexual...""",fortuna et al,2019,0,0
twitter,-,"""....não manda ajustar a calça, deixa um espaço pra sua Smith & Wesson entrar em ação.""",fortuna et al,2019,0,0
twitter,-,"Morte aos hipsters a as camisetas de cores citricas, morte a meias coloridinhas e as cuequinhas alegres.",fortuna et al,2019,0,0
twitter,-,"@user não tem namorada, tem fêmea temporária.",fortuna et al,2019,1,1
twitter,-,"Apesar de serem da Australia, AC/DC é uma banda de homens de verdade!",fortuna et al,2019,0,0
twitter,-,"@user come frango cru nao a "" passarinho "" !",fortuna et al,2019,0,0
twitter,-,FATO: Tem muita mulher que é muito mais @user do que muito mariquinha fresco por ai !,fortuna et al,2019,1,1
twitter,-,"@user não usa capa de chuva,  @user nada em tsunami !",fortuna et al,2019,1,1
twitter,-,quem não gosta de AC/DC @user e não é @user !,fortuna et al,2019,1,1
twitter,-,Jamais confunda um homem porco a um @user um @user sabe bem a hora de lavar as mãos !,fortuna et al,2019,0,0
twitter,-,"@user usa barba ou bigode, essa coisa de pelinha lisinha pra gente é bunda de mulher !",fortuna et al,2019,1,1
twitter,-,@user : ser pós moderno não é coisa de @user portanto @user !,fortuna et al,2019,1,1
twitter,-,"@user pega forte na cintura da sua fêmea, essa coisa de delicadeza nessas horas é desses Jonnys Manés Citricos bunda mole!",fortuna et al,2019,1,1
twitter,-,"@user não pode ser vegetariano, a gente esta sempre no topo da cadeia alimentar !",fortuna et al,2019,1,1
twitter,-,"FATO: Estamos em plena extinção, o mundo esta sendo dominado por bibasexuais, creminhosexuais, saladinhasexuais, metrosexufrangas!",fortuna et al,2019,1,1
twitter,-,Somos o foco da resistência antifrangas modernas sem culhões !,fortuna et al,2019,0,0
twitter,-,"Confissões de um @user : Na hora do banho, toma sem pressa, curte a água, não limpa o umbigo e soca uma bronha (melhor parte) !",fortuna et al,2019,1,1
twitter,-,"Se vc tem um namorado que diz que não olha para as gostosas e que
não bate umazinha nunca! FUJA: é uma franguinha sem caráter !!!",fortuna et al,2019,1,1
twitter,-,"RT @user cientificamente comprovado. se não curte um pornozinho, não é @user",fortuna et al,2019,1,1
twitter,-,"RT @user Terry Richardson, fotógrafo do calendário da Pirelli 2010, profissão: @user - http://tinyurl.com/yghn7oa",fortuna et al,2019,0,0
twitter,-,@user gosta quando @user sem rodeios....,fortuna et al,2019,0,0
twitter,-,"Enciclopédia @user : Futebol = hora sagrada, churrasco, cerveja gelada, não gosta vaza! fêmeas no shopping !",fortuna et al,2019,1,1
twitter,-,"Ao mestre com carinho...Luiz Carlos Alborghetti (12/02/1945-9/12/2009): jornalista, radialista com culhões e @user R.I.P.!",fortuna et al,2019,0,0
twitter,-,@user claro! @user não comentou nada porque esteve em algumas horas de luto e reflexão sobre sua obra. Brinde ao Mestre...,fortuna et al,2019,0,0
twitter,-,@user @user não acompanha time de meninas!,fortuna et al,2019,1,1
twitter,-,"@user manda um salve pra imagem da semana: nós te amamos!!!
- http://bit.ly/7ueBM0",fortuna et al,2019,0,0
twitter,-,@user fez um serviço na cara do Silvio Berlusconi !,fortuna et al,2019,0,0
