source,id,text,researcher,year,aggressive,hate
twitter,-,"Meu nivel de amizade com isis é ela ter meu insta e eu ter o dela, e quando eu penso que não ela manda mensagem “ falano otario ta falando dnv no insta”",leite et al,2020,1,1
twitter,-,"rt @user @user o cara adultera dados, que foram desmascarados e ainda quer ficar no governo?",leite et al,2020,0,0
twitter,-,"@user @user @user o cara só é simplesmente o maior vencedor da história de futebol, tá com 36 anos e tem gás demais e não um gordo com joelho fodido",leite et al,2020,1,0
twitter,-,eu to chorando vei vsf e eu nem staneio izone nem nada https://t.co/rglb8luutw,leite et al,2020,0,0
twitter,-,"Eleitor do Bolsonaro é tão ignorante q não percebeu q a frase abaixo significa o seguinte:

“É melhor falar um monte de bosta do que ficar calado”.

Ainda transformaram em imagem bonitinha com citação e data hahhahahahhahahhahah. https://t.co/cBpSJT1Gdf",leite et al,2020,1,1
twitter,-,rt @user vai responder as outras 75 conversas e para de cobrar atenção caralho https://t.co/g6qy9om78x,leite et al,2020,1,0
twitter,-,"tem um do jack com a msm música e agr não sei qual flodar 
grande dia 👍",leite et al,2020,0,0
twitter,-,mais é ruim pra pedir desafio  esse técnico do  azerbaijão,leite et al,2020,1,1
twitter,-,"@user eu fico vendo isso e penso ""desvantagens do k-pop esta sendo cada vez mais difundido"" o millenium americano ta tão acostumado com gente que não dança e perfomances sem coreografia que quando veem dança de verdade e sincronia fica bugado",leite et al,2020,1,1
twitter,-,"frio do caralho, parece até q to dentro do teu coração",leite et al,2020,1,0
twitter,-,"@user o mentiroso
https://t.co/5fantv4zdx",leite et al,2020,1,1
twitter,-,"@user onde mexe fede!
#forastf 
#stfvergonhanacional 
#forasuspeitotribunalfederal
#nasruascontrastf",leite et al,2020,1,0
twitter,-,"meu filho vem primeiro, ele é minha prioridade!",leite et al,2020,0,0
twitter,-,hoje deu vontade de abraçar minha mãe e chorar o dia inteiro 😔 tpm seja bem vinda.,leite et al,2020,0,0
twitter,-,"Minha conta iria fazer 10 anos, em abril perdeu todos os seguidores, recomeçando, foi suspensa dia 25 de julho.

Enquanto do outro lado, o da criminalidade, pode todos os absurdos, o Povo honesto e trabalhador não pode nada. Não seremos adestrados. Nunca!

#DireitaCensurada https://t.co/qVWf3HxWd8",leite et al,2020,0,0
twitter,-,"@user não se ele tiver encomendado o ""serviço""",leite et al,2020,0,0
twitter,-,@user @user @user sou a favor de invadir o stf e não chegarmos lá d mãos vazias....😝😝😝,leite et al,2020,1,0
twitter,-,"@user @user Folha de São Paulo pra mim não serve nem pra pendurar no banheiro de posto de gasolina,  pegar na mão então nem se fala. Acho que ler fotonovela, se é que ainda existe é mais proveitoso",leite et al,2020,0,0
twitter,-,"@user @user Vc deve ser louca, defendi o INPE na nossa conversa, ou vc é cega, disléxica, achei péssimo a exoneração feita hoje, tenho ciência do bom trabalho q o INPE faz, enfim, não vou perder meu tempo com vc, abraça o DataFolha aí, espere a virada do Haddad ou Ciro no segundo turno kkkkk",leite et al,2020,1,1
twitter,-,"@user nao deixa sua cabeça te fazer de maluca, seu corpo é lindo, assim como todos são dos seus jeitinhos, vai a praia sim eu hein vou dar na sua cara",leite et al,2020,1,0
twitter,-,@user os hormonios pulando...,leite et al,2020,0,0
twitter,-,"hoje é caso dormir cedo
tipo um preso",leite et al,2020,0,0
twitter,-,e nessa loucuraaaaaa de dizer que não te querooooooooo,leite et al,2020,0,0
twitter,-,"@user @user Eu como morador da terra do meio no Pará e conselheiro de 2 UCs, posso falar com segurança que os dados do Inpe, realmente estavam sendo manipulados por ativista travestidos de cientistas pra prejudicar a imagem do governo Bolsonaro! Ontem o ministro Salles provou isso!",leite et al,2020,1,1
twitter,-,bixetes vem logo por favor,leite et al,2020,0,0
twitter,-,"Por outro lado, entre os gestores há um consenso que joga contra o investimento de mais longo prazo. 
Quando provocados, eles são categóricos: se há uma posição que eles não carregariam por 10 anos de olhos fechados é Itaú, ou qualquer outro banco grande.",leite et al,2020,0,0
twitter,-,rt @user hora de colocar os fatos na mesa https://t.co/8174j0wtry,leite et al,2020,0,0
twitter,-,o gambenja. como os gambás contrataram o ruimgil sem ter dinheiro pra pagar as marmita s#fsradiobrasil,leite et al,2020,1,1
twitter,-,1h30 para sair de casa e estou deitada no sofá como se nada fosse,leite et al,2020,0,0
twitter,-,"mano, eu to super de boa, ai penso em certas coisas e já fecho a cara e ninguém entende nd",leite et al,2020,0,0
twitter,-,"rt @user eu tenho de parar de estar de costas na praia, porque eu fico sempre morena nas costas e à frente pareço um pacote de l…",leite et al,2020,0,0
twitter,-,respeitem só faxavor!,leite et al,2020,0,0
twitter,-,"@user @user Contra fatos não há argumentos, Jair.

É assim que você está ficando conhecido na Europa. 

 https://t.co/4jyJCgbe6k",leite et al,2020,0,0
twitter,-,@user @user ahhhhhhhh obg kskskskskskks eu disse q sou horrível com cantadas,leite et al,2020,0,0
twitter,-,"viva a vida enquanto vc esta vivo, pq dps que vc morrer, n vivera mais",leite et al,2020,0,0
twitter,-,"@user @user @user Vc só pensa no Coaf. Acorda alice! Acha mesmo que a PF está engessada somente numa linha de investigação? Achei que como jornalista, era mais esperta.",leite et al,2020,1,1
twitter,-,homens feios porem bonitos??¿,leite et al,2020,0,0
twitter,-,"@user @user Não fale pelo povo nordestino. Sou maranhense, moro no Maranhão e não me importei nem um pouco. Sai da bolha, otário. Eu queria mesmo era dar um abraço e agradecer ao meu Presidente pelo que tem feito. Ah! E detesto maconha!",leite et al,2020,1,1
twitter,-,passando calor aqui na loja,leite et al,2020,0,0
twitter,-,"rt @user @user putz, e sex tape não dá pra gravar todo dia...",leite et al,2020,1,0
twitter,-,"@user Vc só esqueceu de mencionar, que a turma do bem, agrediu o ministro na presença de suas crianças.  Cabe BO,  segundo o estatuto do ECA.  É covardia, que chama?",leite et al,2020,0,0
twitter,-,@user tao linda parece eu,leite et al,2020,0,0
twitter,-,@user @user @user @user e o queiroz ninguém acha??!!🤔🤔,leite et al,2020,0,0
twitter,-,eu amo um homem,leite et al,2020,0,0
twitter,-,rt @user fazendo meu papel de bom amigo marcando keylla em 300 memes ❤️,leite et al,2020,0,0
twitter,-,"📺VÍDEO NOVO, TURMA!

FOTO DE BOA LACRADOR NÃO PERDOA

https://t.co/iGV4s2yKOS

✔Entenda por que a chorumesfera atacou com tanta truculência uma adolescente que apenas postou uma foto de uma viagem escolar!

(E compartilha pra tentar reverter o dano que causaram)",leite et al,2020,1,0
twitter,-,"fazendo amor
botando pra moer
so eu y voce",leite et al,2020,0,0
twitter,-,"O candidato dos ricos que fez a campanha mais pobre da história e o mais atacado por todos
-O político mais burro, pois anuncia seus principais ministros antes mesmo do fim do primeiro turno, não deixando margens para negociatas no segundo turno",leite et al,2020,1,1
twitter,-,"rt @user eu ri, mas eu quero kkk https://t.co/yvv0ojmqgr",leite et al,2020,0,0
twitter,-,1 mês certinho para 18 anos,leite et al,2020,0,0
twitter,-,"mais sonsa que a minha mãe só duas dela, ela fez eu postar foto dela no facebook e fez a kátia cega no comentário kkkkkkkkkkkkkkk q odio",leite et al,2020,1,1
twitter,-,@user incrivel como essa foto só fica melhor a cada vez que eu vejo,leite et al,2020,0,0
twitter,-,"@user Precisamos ficar atentos. Os métodos utilizados pela Lava Jato ñ foram nada ortodoxos. Houve claramente um pacto de mediocridade entre as instituições brasileiras. Realmente, é preciso estar atento e JAMAIS esmorecer. Muito obrigada pelo seu trabalho Demori 👊🏼",leite et al,2020,0,0
twitter,-,@user @user uma jóia de nióbio que n vale quase nada,leite et al,2020,0,0
twitter,-,"Desgoverno da destruição, esconde dados !. estamos sendo enganados e roubados de todos lados e agora a certeza que esses covardes vão manipular dados para apresentação da falsa realmente.. até o presente mostrar o contrário a destruição visível do país.!. #ForaBol卐onaro",leite et al,2020,1,1
twitter,-,nossa velho 2019 e vcs nessa ainda pqp,leite et al,2020,0,0
twitter,-,@user aí levizinho cidade perfeita e pretendo voltar logo maisssss,leite et al,2020,0,0
twitter,-,é foda,leite et al,2020,0,0
twitter,-,8 coisas que os homens fazem apenas com a mulher que amam https://t.co/mueiwvgo5e,leite et al,2020,0,0
twitter,-,esses vascainos são uma piada kkkkm,leite et al,2020,1,1
twitter,-,"Segue minha página de shitpost @user
Mas é de humor negro/shitpost então se tu não gosta sai

Eu divido essa página com a minha melhor amiga segue ela tbm @user :&gt;",leite et al,2020,1,1
twitter,-,@user quando começar os temporais eu vou viver na tua casa vlh,leite et al,2020,0,0
twitter,-,@user parabéns tá muito ruim https://t.co/iizs4vrspm,leite et al,2020,0,0
twitter,-,"Papo reto aqui
Se você usa ou pensa em usar isso aqui como argumento a favor do aborto, saiba que você é L-I-X-O, ideias comparáveis as de Hitler 

Pra você é melhor e mais fácil evitar que pessoas pobres (geralmente minorias raciais) nasçam do que diminuir índices de pobreza https://t.co/69516EvKPV",leite et al,2020,1,1
twitter,-,posso chamar então? — pode sim https://t.co/dje2jlja65,leite et al,2020,0,0
twitter,-,"De vez em quando a escola é um lugar bom, só o professor de matemática torceu o nariz, de resto fui bem recebida por todo mundo, todos fazendo questão de ajudar. Filho custa caro, gentes ❤️",leite et al,2020,0,0
twitter,-,"@user @user @user @user @user @user @user mas pra ela pode ser tudo, precisa mto",leite et al,2020,0,0
twitter,-,"mano, meu tio me ligou agr e quase tive um ataque kkkkkkkkkkk pensei que tinha feito merda",leite et al,2020,0,0
twitter,-,@user @user Parece que o cara mora no suvaco do @user e saiu rapidinho só pra manda a galera toma no cu e já vai voltar pra dentro de casa.,leite et al,2020,1,0
twitter,-,"rt @user muita cautela pra saber quem tá contigo, nem toda mão estendida é de coração",leite et al,2020,0,0
twitter,-,"se não sente falta das meninas não? — mn não sei, acho que foi melhor assim se for pra volta o tempo vai resolver. https://t.co/kpokwycpky",leite et al,2020,0,0
twitter,-,rt @user boa noite pra quem tem os dois melhores laterais do futebol brasileiro. https://t.co/a8bkcydgng,leite et al,2020,0,0
twitter,-,"@user É tá??? Porque não foi faz tempo cuidar dela? E ficou aí perdendo seu tempo em atacar pessoas do bem.?  Vc é seu macho não passam de terroristas. Sumam do Brasil, aqui não é  sua terra Sr. Gleen.",leite et al,2020,1,1
twitter,-,preciso de outra companhia pra ir pra academia pq o matheus é a mesma coisa que nada,leite et al,2020,0,0
twitter,-,rt @user @user olha quem fala,leite et al,2020,0,0
twitter,-,me paga um boquete? 😮 — not https://t.co/vqxtq5ezrv,leite et al,2020,1,0
twitter,-,as vezes as pessoa fala sobre amar o yoongi e eu fico kkkk thats cute,leite et al,2020,0,0
twitter,-,"@user pelo que havia entendido, a conta fazia a somatória dos dois (tv paga e tv aberta).",leite et al,2020,0,0
twitter,-,"@user foda o ser humano e sua síndrome de seguir as coisas só por seguir ao invés de fazer uma reflexão real sobre elas
mundão tá osso",leite et al,2020,0,0
