source,id,text,researcher,year,aggressive,hate
instagram,-,este lixo ...,vargas et al,2021,1,0
instagram,-,Mais um lixo,vargas et al,2021,1,0
instagram,-,Essa nao tem vergonha na cara!!,vargas et al,2021,1,1
instagram,-,Essa mulher é doente.pilantra!,vargas et al,2021,1,1
instagram,-,Comunista safada...,vargas et al,2021,1,1
instagram,-,Vagabunda. Comunista. Mentirosa. O povo chileno nao merece uma desgraça desta.,vargas et al,2021,1,1
instagram,-,"COMUNISTA SAFADA, MALPARIDA, MAMAGUEVA, DESGRAÇADA, COÑO É TU MADRE.",vargas et al,2021,1,1
instagram,-,Besta quadrada.,vargas et al,2021,1,1
instagram,-,Comunista lixo!,vargas et al,2021,1,0
instagram,-,Hipocritas,vargas et al,2021,1,1
instagram,-,Hipocrita!!,vargas et al,2021,1,1
instagram,-,"Quem tem pena é galinha, mas ela é uma VACA LOUCA.",vargas et al,2021,1,1
instagram,-,Esquerdista.,vargas et al,2021,1,1
instagram,-,Mande essa Bachelet plantar batata no asfalto. Puta que pariu até o tamborete de bordel se acha no direito de falar do Brasil.,vargas et al,2021,1,1
instagram,-,Mulherzinha safada,vargas et al,2021,1,1
instagram,-,Cara de pau.,vargas et al,2021,1,1
instagram,-,Oportunista essa corrupta.Agora todos os Comunistas querem se fazer de vítimas.,vargas et al,2021,1,1
instagram,-,Porque é uma bandida,vargas et al,2021,1,1
instagram,-,Mentem e roubam..... Não vai mais mamar.....,vargas et al,2021,1,1
instagram,-,Tudo igual. Só pensam no próprio rabo,vargas et al,2021,1,1
instagram,-,Plano da esquerda foi é e será sempre críticar não nunca teve um plano de governo único plano era como roubar .,vargas et al,2021,1,1
instagram,-,Cretina!,vargas et al,2021,1,1
instagram,-,Guarde sua pena ...nos da ânsia de vômito,vargas et al,2021,1,0
instagram,-,Quem não têm caráter é contra o presidente Bolsonaro,vargas et al,2021,1,1
instagram,-,O problema dela é que a tetinha secou,vargas et al,2021,1,1
instagram,-,Será que alguém em sã consciência ainda vai acreditar nesta farsante? Não acredito em um fio do seu cabelo pintado.,vargas et al,2021,1,1
instagram,-,Bandida😡😡,vargas et al,2021,1,1
instagram,-,Ela tem cara de homem né? Macron deve achar gata,vargas et al,2021,1,1
instagram,-,É uma cara de pau mesmo... 😡,vargas et al,2021,1,1
instagram,-,Nojo dessa pilantra,vargas et al,2021,1,1
instagram,-,Olha ai a hipocrisia dessa mulher,vargas et al,2021,1,1
instagram,-,Bando de canalhas,vargas et al,2021,1,1
instagram,-,"Joga uma carteira de trabalho que correm todos, na verdade não gostam de trabalhar só sabem roubar o brasil",vargas et al,2021,1,0
instagram,-,Vieja idiota.,vargas et al,2021,1,1
instagram,-,Outra bandida ...,vargas et al,2021,1,1
instagram,-,Cretina!!!,vargas et al,2021,1,1
instagram,-,BACHELETA DA TRETA E MUTRETA CHILENA..CANALHA SAPATONA.. BICHELETA..,vargas et al,2021,1,1
instagram,-,Ridícula nojenta,vargas et al,2021,1,1
instagram,-,"hipocrisia, mal do seculo: falta de caráter geral. Ser humano não deu certo.",vargas et al,2021,1,1
instagram,-,"Isso é uma realidade da imbecilidade humana, não tem moral prá nada...",vargas et al,2021,1,1
instagram,-,Noventa comunista,vargas et al,2021,1,0
instagram,-,Noventa comunista,vargas et al,2021,1,0
instagram,-,E eu tenho pena de vc sua ridícula.,vargas et al,2021,1,1
instagram,-,"Eu tenho pena do Brasil, pois com o PT no poder todos os corruPTos do mundo tiraram vantagem das nossas riquezas. Inclusive essa hipócrita amiga da Dilma.🤔",vargas et al,2021,1,1
instagram,-,Óleo de peroba pra lustrar a cara de pau!,vargas et al,2021,1,1
instagram,-,"Mentir e roubar. Tudo que os comunistas sabem fazer. Trabalhar e produzir alguma coisa, jamais.",vargas et al,2021,1,0
instagram,-,"Velha barriguda d bem folgada, heim?🧐🤔😤",vargas et al,2021,1,1
instagram,-,"Esquerdista agora fala em democracia porque levou uma surra no voto, assim como vagabundo jura por Deus depois de um tapa na lateral.🤣",vargas et al,2021,1,1
instagram,-,Aí a ganância falou mais alto... corrupta!,vargas et al,2021,1,1
instagram,-,Descarada!,vargas et al,2021,1,1
instagram,-,@user corruptos.,vargas et al,2021,1,1
instagram,-,Nojo 🙈🙉🙊sempre assim,vargas et al,2021,1,0
instagram,-,Devolve o dinheiro roubado via OAS...,vargas et al,2021,1,0
instagram,-,Débil. ..,vargas et al,2021,1,0
instagram,-,Hipocrita!,vargas et al,2021,1,1
instagram,-,Mais uma esquerdista ridícula💩💩,vargas et al,2021,1,1
instagram,-,Isso não passa de uma mera oportunista! #michelebachelet #oas não passa de uma múmia esquerdista ainda em atividade minha querida @user . Obrigado pelas informações de sempre 🇧🇷💙,vargas et al,2021,1,1
instagram,-,Rapariga de cego ! Quem essa vagabunda pensa que é pra dar pitaco aqui dentro ! Vagabunda,vargas et al,2021,1,1
instagram,-,Hipócrita!!!! 🤮,vargas et al,2021,1,1
instagram,-,Bachelet vc como todo bom esquerdista é uma hipócrita. Tenha pena de vc e do seu povo.,vargas et al,2021,1,1
instagram,-,Q mulher ordinária,vargas et al,2021,1,1
instagram,-,"Realmente, uma verdadeira hipócrita!",vargas et al,2021,1,1
instagram,-,Simples... São canalhas que amam o dinheiro do povo. 👊🏾 🇧🇷 Acabou pra eles aí ficam nesta choradeira de 🚮. Esgoto... Lama podre. Isso eh o comunismo. Povo na merda é eles de boa. Canalhas! 👊🏾,vargas et al,2021,1,1
instagram,-,Pq é uma vaca.,vargas et al,2021,1,0
instagram,-,Vagabunda,vargas et al,2021,1,1
instagram,-,Porca asquerosa🤮🤮🤮,vargas et al,2021,1,1
instagram,-,Realmente a hipocrisia está estampada na cara de pau 👎👎👎👎,vargas et al,2021,1,1
instagram,-,Ridícula vai cuidar da sua vida,vargas et al,2021,1,1
instagram,-,Deve ter pena dela quando descobrir os podre dela essa imoral,vargas et al,2021,1,0
instagram,-,Velha cretina,vargas et al,2021,1,1
instagram,-,"Da esquerda não se aproveita nada, seja ela de qualquer país!",vargas et al,2021,1,0
instagram,-,Hipócrita🤬,vargas et al,2021,1,1
instagram,-,Horrorosa vaca suja,vargas et al,2021,1,1
instagram,-,"Pena eu não tenho de vc corrupta, qdo for presa 👊",vargas et al,2021,1,1
instagram,-,CANALHA 🤮,vargas et al,2021,1,1
instagram,-,FDP,vargas et al,2021,1,1
instagram,-,Hipocrisia esquerdopata oportunista,vargas et al,2021,1,1
instagram,-,E nós sentimos ranço dela! Ela pode guardar a pena dela pra ela na mesma conta que o Lula mandou o dinheiro.,vargas et al,2021,1,1
instagram,-,🇧🇷💪💪💪Bandidagem safados Globolixo globonewslixo mídia lixo nojenta apátridas,vargas et al,2021,1,1
instagram,-,#Vagabunda,vargas et al,2021,1,1
instagram,-,Falsa!!!! Que nem nota de $30!!!!🤪🤪🤪,vargas et al,2021,1,0
instagram,-,Esquerdista ordinária e safada,vargas et al,2021,1,1
instagram,-,Cretina,vargas et al,2021,1,1
instagram,-,"Enquanto a Bachelet comia toco do PT, estava caladinha.",vargas et al,2021,1,1
instagram,-,Safada sem vergonha ! Velha asquerosa !🤮,vargas et al,2021,1,1
instagram,-,Cara de@user,vargas et al,2021,1,1
instagram,-,Quem é essa ? Vai te catar...,vargas et al,2021,1,1
